,Latitude,Longitude,Year,Common_Name,day_mean,counts,day_std
162,40.725063,-73.99769599999998,2019,sugar maple,298.0,2,4.242640687119285
163,40.725063,-73.99769599999998,2019,sweetgum,296.0,2,1.4142135623730951
164,40.728649,-73.220848,2016,red maple,291.0,1,
165,40.728649,-73.220848,2017,red maple,273.25,4,10.5
166,40.73082,-73.99733,2019,flowering dogwood,287.4166666666667,24,23.072507009645577
167,40.73082,-73.99733,2019,silver maple,316.3333333333333,3,7.094598884597596
168,40.73082,-73.99733,2019,tuliptree,307.2,10,9.600925881277172
169,40.733047,-74.665649,2016,sugar maple,315.3333333333333,12,27.063337606885167
170,40.733047,-74.665649,2017,Norway maple,298.8,5,10.449880382090507
171,40.734249,-74.669731,2016,flowering dogwood,281.5,4,13.625955623979797
172,40.754372,-73.888535,2019,flowering dogwood,324.5,8,3.8913824205360683
173,40.754372,-73.888535,2019,northern red oak,333.8,5,6.45755371638518
174,40.754372,-73.888535,2019,pin oak,332.97727272727275,44,6.8623971551191625
175,40.754372,-73.888535,2019,red maple,327.5,6,2.880972058177584
176,40.756531,-74.40929399999997,2014,red maple,286.0,2,5.656854249492381
177,40.766399,-73.97479200000002,2014,American beech,322.5,4,4.041451884327381
178,40.766399,-73.97479200000002,2014,tuliptree,326.0,1,
179,40.77806500000001,-73.810577,2019,pin oak,336.75,8,5.257647491307974
180,40.783974,-74.320992,2017,northern red oak,264.0,1,
181,40.783974,-74.320992,2018,American beech,297.6666666666667,12,18.37653312507476
182,40.783974,-74.320992,2018,red maple,307.0,3,23.811761799581316
183,40.783974,-74.320992,2018,white ash,280.6666666666667,6,12.909944487358057
184,40.799301,-77.85784100000002,2019,northern red oak,303.0,5,1.5811388300841898
185,40.814957,-73.679008,2015,flowering dogwood,304.0,2,4.242640687119285
186,40.814957,-73.679008,2015,red maple,307.0,1,
187,40.814957,-73.679008,2015,sugar maple,304.0,2,4.242640687119285
188,40.814957,-73.679008,2015,tuliptree,307.0,1,
189,40.814957,-73.679008,2016,flowering dogwood,304.0,1,
190,40.814957,-73.679008,2016,red maple,304.0,1,
191,40.814957,-73.679008,2016,sugar maple,304.0,1,
192,40.814957,-73.679008,2016,tuliptree,304.0,1,
193,40.849998,-73.86666899999999,2013,red maple,325.0,1,
194,40.860325,-73.87847099999998,2015,American beech,308.0,2,0.0
195,40.860325,-73.87847099999998,2015,black oak,322.0,1,
196,40.860325,-73.87847099999998,2015,pin oak,315.0,2,9.899494936611665
197,40.860325,-73.87847099999998,2015,red maple,315.0,2,9.899494936611665
198,40.860325,-73.87847099999998,2015,white oak,308.0,1,
199,40.860325,-73.87847099999998,2016,red maple,286.0,1,
200,40.86039,-73.87847099999998,2016,pin oak,315.8,5,11.5628716156498
201,40.86039,-73.87847099999998,2016,sweetgum,314.6,5,13.612494260788498
202,40.86039,-73.87847099999998,2016,white oak,314.6,5,13.612494260788498
203,40.86039,-73.87847099999998,2017,sweetgum,309.0,4,9.69535971483265
204,40.86039,-73.87847099999998,2017,white oak,305.8,5,11.03177229641729
